chromosome,start,end,mean_fst,comparison
8,26915001,26995000,0.248,LDR_A versus IMP_A
8,29070001,29140000,0.238,LDR_A versus IMP_A
9,75001,125000,0.232562,LDR_A versus IMP_A
9,185001,265000,0.235,LDR_A versus IMP_A
9,1120001,1210000,0.243,LDR_A versus IMP_A
9,16355001,16430000,0.243,LDR_A versus IMP_A
9,17995001,18130000,0.274,LDR_A versus IMP_A
9,18300001,18360000,0.264,LDR_A versus IMP_A
9,18760001,18850000,0.261,LDR_A versus IMP_A
9,18985001,19145000,0.261,LDR_A versus IMP_A
9,19440001,19555000,0.247,LDR_A versus IMP_A
9,20480001,20550000,0.235,LDR_A versus IMP_A
9,20915001,20975000,0.259,LDR_A versus IMP_A
9,24105001,24155000,0.23319,LDR_A versus IMP_A
10,2540001,2605000,0.235,LDR_A versus IMP_A
10,3290001,3340000,0.233871,LDR_A versus IMP_A
10,9085001,9190000,0.26,LDR_A versus IMP_A
10,9285001,10095000,0.259,LDR_A versus IMP_A
10,11520001,11765000,0.25,LDR_A versus IMP_A
10,13390001,13540000,0.261,LDR_A versus IMP_A
10,13630001,13865000,0.256,LDR_A versus IMP_A
10,14175001,14265000,0.278,LDR_A versus IMP_A
10,16255001,16400000,0.247,LDR_A versus IMP_A
10,16495001,16785000,0.252,LDR_A versus IMP_A
10,24525001,24595000,0.237,LDR_A versus IMP_A
11,2860001,2920000,0.237,LDR_A versus IMP_A
11,3065001,3140000,0.238,LDR_A versus IMP_A
11,3605001,3675000,0.247,LDR_A versus IMP_A
11,3840001,3895000,0.234,LDR_A versus IMP_A
11,3995001,4100000,0.243,LDR_A versus IMP_A
11,4320001,4380000,0.266,LDR_A versus IMP_A
11,5560001,5655000,0.249,LDR_A versus IMP_A
11,5725001,6180000,0.262,LDR_A versus IMP_A
11,6310001,6775000,0.277,LDR_A versus IMP_A
11,6915001,7160000,0.278,LDR_A versus IMP_A
11,9025001,9365000,0.257,LDR_A versus IMP_A
11,9695001,10035000,0.259,LDR_A versus IMP_A
11,11000001,11090000,0.254,LDR_A versus IMP_A
11,11770001,11835000,0.232255,LDR_A versus IMP_A
11,11915001,12960000,0.275,LDR_A versus IMP_A
11,13040001,13185000,0.268,LDR_A versus IMP_A
11,13420001,13880000,0.277,LDR_A versus IMP_A
11,13945001,14345000,0.263,LDR_A versus IMP_A
11,14450001,14875000,0.278,LDR_A versus IMP_A
11,14945001,15245000,0.256,LDR_A versus IMP_A
11,15310001,15535000,0.25,LDR_A versus IMP_A
11,15605001,17160000,0.266,LDR_A versus IMP_A
11,17225001,17380000,0.253,LDR_A versus IMP_A
11,17520001,17615000,0.238,LDR_A versus IMP_A
11,18365001,18450000,0.237,LDR_A versus IMP_A
11,18540001,18720000,0.255,LDR_A versus IMP_A
11,18815001,19505000,0.26,LDR_A versus IMP_A
11,19660001,19710000,0.234147,LDR_A versus IMP_A
11,19890001,20005000,0.25,LDR_A versus IMP_A
11,20280001,20370000,0.239,LDR_A versus IMP_A
11,22430001,22525000,0.235,LDR_A versus IMP_A
11,22850001,22945000,0.235,LDR_A versus IMP_A
11,24840001,24915000,0.24,LDR_A versus IMP_A
11,24970001,25080000,0.235,LDR_A versus IMP_A
11,25220001,25270000,0.231886,LDR_A versus IMP_A
11,25360001,25440000,0.234,LDR_A versus IMP_A
11,29770001,29865000,0.239,LDR_A versus IMP_A
11,30175001,30245000,0.248,LDR_A versus IMP_A
11,30345001,30400000,0.24,LDR_A versus IMP_A
11,30875001,30985000,0.247,LDR_A versus IMP_A
11,31085001,31485000,0.272,LDR_A versus IMP_A
12,24415001,24525000,0.237,LDR_A versus IMP_A
12,24930001,25000000,0.243,LDR_A versus IMP_A
12,25195001,25345000,0.245,LDR_A versus IMP_A
1,3200001,3300000,0.234,LDR_M versus IMP_M
1,3625001,3685000,0.204,LDR_M versus IMP_M
1,3750001,3870000,0.23,LDR_M versus IMP_M
1,4135001,4235000,0.233,LDR_M versus IMP_M
1,4770001,4930000,0.215,LDR_M versus IMP_M
1,5010001,5150000,0.214,LDR_M versus IMP_M
1,5700001,5795000,0.229,LDR_M versus IMP_M
1,5870001,6180000,0.236,LDR_M versus IMP_M
1,7030001,7320000,0.214,LDR_M versus IMP_M
1,7635001,7825000,0.213,LDR_M versus IMP_M
1,9785001,9920000,0.272,LDR_M versus IMP_M
1,11810001,12195000,0.293,LDR_M versus IMP_M
1,12370001,12510000,0.219,LDR_M versus IMP_M
1,12610001,12665000,0.205,LDR_M versus IMP_M
1,12965001,13030000,0.224,LDR_M versus IMP_M
1,13165001,13450000,0.241,LDR_M versus IMP_M
1,13875001,14000000,0.216,LDR_M versus IMP_M
1,14010001,14085000,0.215,LDR_M versus IMP_M
1,16095001,16150000,0.2,LDR_M versus IMP_M
1,16425001,16525000,0.231,LDR_M versus IMP_M
1,20230001,20445000,0.208,LDR_M versus IMP_M
1,22790001,22865000,0.219,LDR_M versus IMP_M
1,23135001,23405000,0.211,LDR_M versus IMP_M
1,23505001,24145000,0.215,LDR_M versus IMP_M
1,24245001,24310000,0.202,LDR_M versus IMP_M
1,24465001,24515000,0.200734,LDR_M versus IMP_M
1,26215001,26270000,0.199182,LDR_M versus IMP_M
1,26515001,26570000,0.20133,LDR_M versus IMP_M
1,28365001,28505000,0.222,LDR_M versus IMP_M
1,28640001,28955000,0.257,LDR_M versus IMP_M
1,29085001,29375000,0.241,LDR_M versus IMP_M
1,29505001,29595000,0.216,LDR_M versus IMP_M
2,3935001,4090000,0.288,LDR_M versus IMP_M
2,4345001,4575000,0.266,LDR_M versus IMP_M
2,7730001,7895000,0.244,LDR_M versus IMP_M
2,9155001,9245000,0.245,LDR_M versus IMP_M
2,9625001,9675000,0.202512,LDR_M versus IMP_M
2,9920001,10100000,0.226,LDR_M versus IMP_M
2,10165001,10265000,0.217,LDR_M versus IMP_M
2,20395001,20475000,0.212,LDR_M versus IMP_M
2,22670001,22725000,0.224,LDR_M versus IMP_M
2,24140001,24225000,0.218,LDR_M versus IMP_M
2,24285001,24545000,0.241,LDR_M versus IMP_M
2,24705001,24765000,0.201,LDR_M versus IMP_M
2,24830001,24885000,0.204,LDR_M versus IMP_M
2,25770001,25870000,0.228,LDR_M versus IMP_M
3,950001,1040000,0.237,LDR_M versus IMP_M
3,27635001,27710000,0.204,LDR_M versus IMP_M
3,28000001,28240000,0.239,LDR_M versus IMP_M
4,6400001,6450000,0.201117,LDR_M versus IMP_M
4,6535001,6590000,0.202799,LDR_M versus IMP_M
4,6685001,6810000,0.22,LDR_M versus IMP_M
4,6965001,7080000,0.207,LDR_M versus IMP_M
4,7165001,7265000,0.208,LDR_M versus IMP_M
4,7375001,7540000,0.206,LDR_M versus IMP_M
4,8195001,8375000,0.208,LDR_M versus IMP_M
4,9170001,9220000,0.198848,LDR_M versus IMP_M
4,9405001,9945000,0.248,LDR_M versus IMP_M
4,10010001,10290000,0.298,LDR_M versus IMP_M
4,12350001,12460000,0.226,LDR_M versus IMP_M
4,12550001,12615000,0.21,LDR_M versus IMP_M
4,13200001,13330000,0.25,LDR_M versus IMP_M
4,13720001,13800000,0.212,LDR_M versus IMP_M
4,17595001,17725000,0.235,LDR_M versus IMP_M
4,20655001,20715000,0.208,LDR_M versus IMP_M
4,20800001,21045000,0.292,LDR_M versus IMP_M
4,21680001,21775000,0.286,LDR_M versus IMP_M
4,22660001,22710000,0.198063,LDR_M versus IMP_M
4,24020001,24195000,0.221,LDR_M versus IMP_M
4,24485001,24550000,0.238,LDR_M versus IMP_M
4,24755001,25120000,0.262,LDR_M versus IMP_M
4,25245001,25455000,0.284,LDR_M versus IMP_M
4,25520001,25590000,0.208,LDR_M versus IMP_M
4,26870001,26925000,0.204185,LDR_M versus IMP_M
4,27380001,27435000,0.21,LDR_M versus IMP_M
4,28585001,28665000,0.209,LDR_M versus IMP_M
4,28855001,29060000,0.23,LDR_M versus IMP_M
4,30295001,30385000,0.245,LDR_M versus IMP_M
4,30715001,30775000,0.205,LDR_M versus IMP_M
4,30890001,31100000,0.262,LDR_M versus IMP_M
5,1,270000,0.216,LDR_M versus IMP_M
5,6070001,6190000,0.276,LDR_M versus IMP_M
5,8630001,8725000,0.24,LDR_M versus IMP_M
5,9020001,9090000,0.21,LDR_M versus IMP_M
5,10335001,10395000,0.233,LDR_M versus IMP_M
5,12060001,12215000,0.264,LDR_M versus IMP_M
5,12710001,12795000,0.216,LDR_M versus IMP_M
5,12865001,13195000,0.274,LDR_M versus IMP_M
5,13300001,13425000,0.205,LDR_M versus IMP_M
5,16035001,16100000,0.205,LDR_M versus IMP_M
5,16170001,16360000,0.214,LDR_M versus IMP_M
5,16505001,16835000,0.221,LDR_M versus IMP_M
5,18580001,18670000,0.211,LDR_M versus IMP_M
5,18850001,19360000,0.243,LDR_M versus IMP_M
5,19675001,19885000,0.264,LDR_M versus IMP_M
5,21125001,21230000,0.2,LDR_M versus IMP_M
5,21290001,21340000,0.225036,LDR_M versus IMP_M
5,21620001,21775000,0.259,LDR_M versus IMP_M
5,23020001,23080000,0.22,LDR_M versus IMP_M
5,24800001,24850000,0.208879,LDR_M versus IMP_M
6,415001,500000,0.217,LDR_M versus IMP_M
6,1110001,1195000,0.214,LDR_M versus IMP_M
6,1845001,1915000,0.209,LDR_M versus IMP_M
6,3440001,3560000,0.217,LDR_M versus IMP_M
6,3760001,3860000,0.223,LDR_M versus IMP_M
6,11345001,11515000,0.265,LDR_M versus IMP_M
6,11790001,11860000,0.221,LDR_M versus IMP_M
6,12175001,12485000,0.216,LDR_M versus IMP_M
6,12550001,12850000,0.222,LDR_M versus IMP_M
6,25280001,25330000,0.197885,LDR_M versus IMP_M
6,31175001,31260000,0.22,LDR_M versus IMP_M
6,31685001,31780000,0.204,LDR_M versus IMP_M
6,32300001,32375000,0.218,LDR_M versus IMP_M
6,32620001,32960000,0.233,LDR_M versus IMP_M
6,33205001,33295000,0.2,LDR_M versus IMP_M
6,34440001,34490000,0.197773,LDR_M versus IMP_M
6,35600001,35680000,0.207,LDR_M versus IMP_M
7,2125001,2180000,0.203,LDR_M versus IMP_M
7,2620001,2680000,0.199,LDR_M versus IMP_M
7,2930001,2995000,0.229,LDR_M versus IMP_M
7,3075001,3195000,0.227,LDR_M versus IMP_M
7,4395001,4580000,0.215,LDR_M versus IMP_M
7,5205001,5280000,0.238,LDR_M versus IMP_M
7,7245001,7605000,0.22,LDR_M versus IMP_M
7,8810001,8905000,0.22,LDR_M versus IMP_M
7,14850001,14995000,0.203,LDR_M versus IMP_M
7,15105001,15665000,0.22,LDR_M versus IMP_M
7,21280001,21480000,0.208,LDR_M versus IMP_M
7,22950001,23010000,0.208,LDR_M versus IMP_M
7,24490001,24565000,0.202,LDR_M versus IMP_M
8,105001,170000,0.203,LDR_M versus IMP_M
8,175001,400000,0.234,LDR_M versus IMP_M
8,1295001,1380000,0.208,LDR_M versus IMP_M
8,1655001,1730000,0.234,LDR_M versus IMP_M
8,2720001,2835000,0.27,LDR_M versus IMP_M
8,3960001,4065000,0.334,LDR_M versus IMP_M
8,4745001,4835000,0.272,LDR_M versus IMP_M
8,5410001,5475000,0.21,LDR_M versus IMP_M
8,7270001,7395000,0.231,LDR_M versus IMP_M
8,9185001,9430000,0.233,LDR_M versus IMP_M
8,10360001,10425000,0.206,LDR_M versus IMP_M
8,12185001,12520000,0.243,LDR_M versus IMP_M
8,12590001,12660000,0.205,LDR_M versus IMP_M
8,12935001,13270000,0.223,LDR_M versus IMP_M
8,13385001,13850000,0.227,LDR_M versus IMP_M
8,15165001,15235000,0.204,LDR_M versus IMP_M
8,16675001,16800000,0.214,LDR_M versus IMP_M
8,20455001,20565000,0.223,LDR_M versus IMP_M
8,21275001,21330000,0.214,LDR_M versus IMP_M
8,21575001,21630000,0.208,LDR_M versus IMP_M
8,24845001,24905000,0.209,LDR_M versus IMP_M
8,26705001,26775000,0.224,LDR_M versus IMP_M
8,26840001,26910000,0.218,LDR_M versus IMP_M
8,29115001,29260000,0.208,LDR_M versus IMP_M
9,9760001,9835000,0.206,LDR_M versus IMP_M
9,15965001,16115000,0.212,LDR_M versus IMP_M
9,19055001,19125000,0.206,LDR_M versus IMP_M
9,20545001,20640000,0.252,LDR_M versus IMP_M
9,21145001,21210000,0.209,LDR_M versus IMP_M
9,23965001,24150000,0.266,LDR_M versus IMP_M
10,9095001,9185000,0.235,LDR_M versus IMP_M
10,9525001,9965000,0.281,LDR_M versus IMP_M
10,10030001,11635000,0.257,LDR_M versus IMP_M
10,12780001,12885000,0.211,LDR_M versus IMP_M
10,12970001,13070000,0.228,LDR_M versus IMP_M
10,13310001,13365000,0.206,LDR_M versus IMP_M
10,13645001,13720000,0.203,LDR_M versus IMP_M
10,14330001,15025000,0.231,LDR_M versus IMP_M
10,15460001,15965000,0.332,LDR_M versus IMP_M
10,18990001,19085000,0.205,LDR_M versus IMP_M
10,19845001,19910000,0.201,LDR_M versus IMP_M
10,20025001,20095000,0.22,LDR_M versus IMP_M
10,20835001,21100000,0.227,LDR_M versus IMP_M
10,21220001,21530000,0.239,LDR_M versus IMP_M
10,22000001,22050000,0.203964,LDR_M versus IMP_M
10,22835001,23005000,0.242,LDR_M versus IMP_M
10,23170001,24205000,0.244,LDR_M versus IMP_M
10,24425001,24845000,0.23,LDR_M versus IMP_M
10,25355001,25410000,0.215,LDR_M versus IMP_M
11,675001,1400000,0.229,LDR_M versus IMP_M
11,1710001,1765000,0.199,LDR_M versus IMP_M
11,1820001,2095000,0.23,LDR_M versus IMP_M
11,2245001,2300000,0.199,LDR_M versus IMP_M
11,2365001,2460000,0.278,LDR_M versus IMP_M
11,2785001,2840000,0.209,LDR_M versus IMP_M
11,3935001,4135000,0.215,LDR_M versus IMP_M
11,4330001,4380000,0.216833,LDR_M versus IMP_M
11,9575001,9635000,0.198,LDR_M versus IMP_M
11,14005001,14120000,0.211,LDR_M versus IMP_M
11,14965001,15070000,0.205,LDR_M versus IMP_M
11,25315001,25395000,0.205,LDR_M versus IMP_M
11,25585001,25650000,0.204,LDR_M versus IMP_M
11,26760001,26930000,0.289,LDR_M versus IMP_M
12,1,315000,0.267,LDR_M versus IMP_M
12,675001,740000,0.22,LDR_M versus IMP_M
12,1040001,1130000,0.201,LDR_M versus IMP_M
12,1705001,1780000,0.216,LDR_M versus IMP_M
12,2000001,2075000,0.217,LDR_M versus IMP_M
12,24380001,24525000,0.203,LDR_M versus IMP_M
