chromosome,sweep_name,start,end,mean_xpclr,comparison
2,DA041,8145138,8329938,8.556,WT versus LDR_A
2,DA042,12465138,12559938,9.916,WT versus LDR_A
2,DA043,13050138,13144938,10.058,WT versus LDR_A
2,DA044,13320138,13369938,8.907849564,WT versus LDR_A
2,DA045,13455138,13549938,11.747,WT versus LDR_A
2,DA046,13725138,13819938,13.893,WT versus LDR_A
2,DA047,14985138,15034938,8.484015308,WT versus LDR_A
2,DA048,17910138,17959938,11.98451166,WT versus LDR_A
2,DA049,20475138,20524938,12.89612106,WT versus LDR_A
2,DA050,24210138,24259938,7.570619708,WT versus LDR_A
3,DA051,369,184969,11.408,WT versus LDR_A
3,DA052,540169,679969,7.794,WT versus LDR_A
3,DA053,945169,1039969,13.672,WT versus LDR_A
3,DA054,1755169,1804969,7.892060692,WT versus LDR_A
3,DA055,4950169,5089969,10.468,WT versus LDR_A
3,DA056,5805169,5899969,9.426,WT versus LDR_A
3,DA057,7830169,7879969,16.089960128,WT versus LDR_A
3,DA058,8145169,8194969,17.834897548,WT versus LDR_A
3,DA059,9045169,9139969,8.832,WT versus LDR_A
3,DA060,10350169,10624969,13.991,WT versus LDR_A
3,DA061,12465169,12514969,9.5248412,WT versus LDR_A
3,DA062,12825169,13189969,16.571,WT versus LDR_A
3,DA063,13905169,13954969,9.115866836,WT versus LDR_A
3,DA064,15075169,15124969,10.152615372,WT versus LDR_A
3,DA065,15885169,16204969,13.504,WT versus LDR_A
3,DA066,17910169,18544969,14.047,WT versus LDR_A
3,DA067,18630169,18679969,12.079029664,WT versus LDR_A
3,DA068,18900169,18994969,16.835,WT versus LDR_A
3,DA069,19890169,19984969,8.316,WT versus LDR_A
3,DA070,21150169,21199969,8.991609864,WT versus LDR_A
3,DA071,26595169,26644969,8.325294,WT versus LDR_A
4,DA072,3150103,3199903,7.865650056,WT versus LDR_A
4,DA073,8235103,8374903,7.998,WT versus LDR_A
4,DA074,8460103,8554903,9.832,WT versus LDR_A
4,DA075,8640103,8734903,9.16,WT versus LDR_A
4,DA076,9045103,9094903,8.40902843199999,WT versus LDR_A
4,DA077,9675103,9724903,8.123703212,WT versus LDR_A
4,DA078,10035103,10084903,8.179662824,WT versus LDR_A
4,DA079,10305103,10354903,12.582823492,WT versus LDR_A
4,DA080,10530103,10579903,28.374579192,WT versus LDR_A
4,DA081,10800103,10984903,12.982,WT versus LDR_A
4,DA082,11250103,11299903,7.588448792,WT versus LDR_A
4,DA083,12015103,12109903,13.001,WT versus LDR_A
4,DA084,12285103,12514903,11.001,WT versus LDR_A
4,DA085,13230103,13279903,18.21579042,WT versus LDR_A
4,DA086,16650103,16699903,9.279250292,WT versus LDR_A
4,DA087,18855103,18904903,7.869,WT versus LDR_A
4,DA088,19035103,19084903,10.059,WT versus LDR_A
4,DA089,24750103,24844903,9.808,WT versus LDR_A
4,DA090,25290103,25339903,10.4969625,WT versus LDR_A
5,DA091,90007,139807,8.205628128,WT versus LDR_A
5,DA092,4635007,4684807,8.008978216,WT versus LDR_A
5,DA093,8325007,8374807,12.083065044,WT versus LDR_A
5,DA094,9900007,9949807,9.620849744,WT versus LDR_A
5,DA095,13320007,13504807,13.227,WT versus LDR_A
5,DA096,14310007,14404807,12.809,WT versus LDR_A
5,DA097,14625007,14719807,9.208,WT versus LDR_A
5,DA098,14805007,14854807,8.363079,WT versus LDR_A
5,DA099,15750007,15799807,8.940352568,WT versus LDR_A
5,DA100,16290007,16339807,10.95405854,WT versus LDR_A
5,DA101,16830007,16879807,8.092787204,WT versus LDR_A
5,DA102,17505007,17734807,8.887,WT versus LDR_A
5,DA103,18000007,18049807,21.702834972,WT versus LDR_A
5,DA104,18630007,18679807,7.836900804,WT versus LDR_A
5,DA105,18765007,18814807,8.68186906,WT versus LDR_A
5,DA106,20385007,20434807,13.363225956,WT versus LDR_A
5,DA107,24435007,24484807,8.821192216,WT versus LDR_A
6,DA108,8190069,8239869,10.212257412,WT versus LDR_A
6,DA109,9000069,9049869,8.668759936,WT versus LDR_A
6,DA110,11205069,11524869,11.912,WT versus LDR_A
6,DA111,11835069,11884869,9.872101848,WT versus LDR_A
6,DA112,15300069,15349869,12.697339792,WT versus LDR_A
6,DA113,15525069,15574869,8.283861192,WT versus LDR_A
6,DA114,16425069,16474869,7.597783408,WT versus LDR_A
6,DA115,16920069,16969869,7.854184056,WT versus LDR_A
6,DA116,17055069,17194869,10.689,WT versus LDR_A
6,DA117,17325069,17374869,10.525160888,WT versus LDR_A
6,DA118,17910069,17959869,9.840542908,WT versus LDR_A
6,DA119,18225069,18364869,9.099,WT versus LDR_A
6,DA120,18540069,18679869,9.064,WT versus LDR_A
6,DA121,18765069,18814869,9.947937232,WT versus LDR_A
6,DA122,19980069,20029869,7.839934108,WT versus LDR_A
6,DA123,20970069,21064869,8.7,WT versus LDR_A
6,DA124,21690069,21739869,8.10465892,WT versus LDR_A
6,DA125,28845069,29029869,10.927,WT versus LDR_A
6,DA126,29295069,29344869,8.7845764,WT versus LDR_A
6,DA127,29475069,29524869,14.699008936,WT versus LDR_A
6,DA128,30420069,30514869,13.143,WT versus LDR_A
7,DA129,584,139984,10.58,WT versus LDR_A
7,DA130,4905184,5044984,17.653,WT versus LDR_A
7,DA131,5130184,5179984,8.418243752,WT versus LDR_A
7,DA132,6750184,6844984,8.153,WT versus LDR_A
7,DA133,7560184,7609984,7.819060596,WT versus LDR_A
7,DA134,7785184,7834984,8.13573539599999,WT versus LDR_A
7,DA135,7965184,8059984,8.647,WT versus LDR_A
7,DA136,8685184,8734984,8.069616768,WT versus LDR_A
7,DA137,14355184,14539984,15.551,WT versus LDR_A
7,DA138,16875184,16969984,8.296,WT versus LDR_A
7,DA139,20115184,20164984,8.062129028,WT versus LDR_A
7,DA140,20250184,20299984,9.10875606,WT versus LDR_A
8,DA141,276,94876,9.306,WT versus LDR_A
8,DA142,14715076,14809876,9.466,WT versus LDR_A
8,DA143,18810076,18859876,8.05602562,WT versus LDR_A
8,DA144,20475076,20524876,9.099026248,WT versus LDR_A
8,DA145,20790076,20839876,9.017641556,WT versus LDR_A
8,DA146,20925076,21019876,12.054,WT versus LDR_A
8,DA147,21240076,21514876,19.689,WT versus LDR_A
8,DA148,21600076,21739876,9.197,WT versus LDR_A
8,DA149,21870076,22099876,15.01,WT versus LDR_A
8,DA150,22545076,22594876,9.19007613199999,WT versus LDR_A
8,DA151,31410076,31459876,15.223691304,WT versus LDR_A
9,DA152,675191,724991,7.699937288,WT versus LDR_A
9,DA153,6345191,6439991,11.703,WT versus LDR_A
9,DA154,7470191,7519991,7.939863436,WT versus LDR_A
9,DA155,8685191,8734991,12.083783204,WT versus LDR_A
9,DA156,10350191,10444991,9.48,WT versus LDR_A
9,DA157,12960191,13009991,8.277297916,WT versus LDR_A
9,DA158,15480191,15529991,9.902868932,WT versus LDR_A
9,DA159,16020191,16114991,15.603,WT versus LDR_A
9,DA160,16515191,16609991,8.474,WT versus LDR_A
9,DA161,23850191,23899991,9.887649444,WT versus LDR_A
10,DA162,5580166,5629966,9.518948744,WT versus LDR_A
10,DA163,7605166,7654966,8.072685828,WT versus LDR_A
10,DA164,10305166,10444966,8.6,WT versus LDR_A
10,DA165,10530166,10669966,9.153,WT versus LDR_A
10,DA166,14355166,14404966,7.914111328,WT versus LDR_A
10,DA167,16785166,16834966,8.54232454,WT versus LDR_A
10,DA168,17055166,17104966,7.896791108,WT versus LDR_A
10,DA169,19170166,19219966,7.673480416,WT versus LDR_A
10,DA170,19395166,19534966,9.976,WT versus LDR_A
10,DA171,20070166,20209966,12.12,WT versus LDR_A
10,DA172,20745166,20794966,13.16611478,WT versus LDR_A
10,DA173,20970166,21019966,8.032231916,WT versus LDR_A
10,DA174,21330166,21379966,9.102333636,WT versus LDR_A
10,DA175,22455166,22594966,8.931,WT versus LDR_A
10,DA176,23175166,23269966,9.20640176400001,WT versus LDR_A
10,DA177,23400166,23809966,8.645,WT versus LDR_A
10,DA178,23895166,24169966,8.885,WT versus LDR_A
10,DA179,25245166,25361566,12.3,WT versus LDR_A
11,DA180,1440013,1489813,11.22789192,WT versus LDR_A
11,DA181,1575013,1624813,8.368488524,WT versus LDR_A
11,DA182,4410013,4459813,9.977528968,WT versus LDR_A
11,DA183,4815013,4864813,7.700880356,WT versus LDR_A
11,DA184,7290013,7429813,8.439501686,WT versus LDR_A
11,DA185,7830013,7879813,13.466820512,WT versus LDR_A
11,DA186,8010013,8194813,8.817045864,WT versus LDR_A
11,DA187,9630013,9724813,9.65464650600001,WT versus LDR_A
11,DA188,13050013,13144813,10.887173294,WT versus LDR_A
11,DA189,14085013,14134813,7.66308688,WT versus LDR_A
11,DA190,14310013,14584813,10.858574976,WT versus LDR_A
11,DA191,17460013,17554813,8.73357935599999,WT versus LDR_A
11,DA192,17730013,17779813,10.293798336,WT versus LDR_A
11,DA193,19710013,20344813,9.288523348,WT versus LDR_A
11,DA194,21465013,21514813,10.956,WT versus LDR_A
11,DA195,21735013,21784813,7.745,WT versus LDR_A
11,DA196,22500013,22594813,9.127,WT versus LDR_A
11,DA197,22950013,23044813,10.009143116,WT versus LDR_A
11,DA198,24750013,24799813,7.875981804,WT versus LDR_A
11,DA199,25065013,25204813,10.9704140146667,WT versus LDR_A
11,DA200,25515013,25609813,10.48627433,WT versus LDR_A
12,DA201,42,229842,11.0872701984,WT versus LDR_A
12,DA202,4050042,4099842,11.949866212,WT versus LDR_A
12,DA203,4725042,4774842,9.048086872,WT versus LDR_A
12,DA204,4995042,5044842,7.6077509,WT versus LDR_A
12,DA205,5715042,5854842,8.738306836,WT versus LDR_A
12,DA206,8190042,8239842,9.176860572,WT versus LDR_A
12,DA207,18945042,18994842,9.4153852,WT versus LDR_A
1,DM001,5580025,5764825,8.631,WT versus LDR_M
1,DM002,8865025,8914825,7.50813074,WT versus LDR_M
1,DM003,9855025,9904825,11.171572444,WT versus LDR_M
1,DM004,13230025,13279825,8.753463548,WT versus LDR_M
1,DM005,13365025,13459825,12.276,WT versus LDR_M
1,DM006,14175025,14224825,7.133998784,WT versus LDR_M
1,DM007,15525025,15619825,15.114,WT versus LDR_M
1,DM008,16155025,16204825,7.35867702800001,WT versus LDR_M
1,DM009,16830025,16879825,7.44186174,WT versus LDR_M
1,DM010,19350025,19624825,10.839,WT versus LDR_M
1,DM011,21240025,21334825,7.332,WT versus LDR_M
1,DM012,22995025,23044825,12.42237578,WT versus LDR_M
1,DM013,23310025,23359825,7.706010668,WT versus LDR_M
1,DM014,24750025,24799825,7.56227044,WT versus LDR_M
1,DM015,25380025,25429825,8.327092676,WT versus LDR_M
1,DM016,25605025,25654825,12.832539344,WT versus LDR_M
1,DM017,25740025,25789825,8.45493508800001,WT versus LDR_M
1,DM018,29430025,29479825,8.12522164,WT versus LDR_M
1,DM019,35280025,35382225,9.131,WT versus LDR_M
2,DM020,4410004,4504804,7.296,WT versus LDR_M
2,DM021,8775004,8824804,10.159936568,WT versus LDR_M
2,DM022,10665004,10714804,7.27544262,WT versus LDR_M
2,DM023,12465004,12514804,8.138510004,WT versus LDR_M
2,DM024,13095004,13144804,9.43994284400001,WT versus LDR_M
2,DM025,13320004,13414804,9.547,WT versus LDR_M
2,DM026,13725004,13819804,13.949,WT versus LDR_M
2,DM027,15750004,15799804,21.114616508,WT versus LDR_M
2,DM028,17910004,17959804,7.3302015,WT versus LDR_M
2,DM029,18720004,18859804,10.567,WT versus LDR_M
2,DM030,22995004,23044804,8.049287024,WT versus LDR_M
2,DM031,23670004,23764804,7.199,WT versus LDR_M
2,DM032,26055004,26104804,7.889652784,WT versus LDR_M
3,DM033,369,184969,9.934,WT versus LDR_M
3,DM034,270169,319969,8.909566488,WT versus LDR_M
3,DM035,495169,679969,7.145,WT versus LDR_M
3,DM036,1755169,1804969,12.452496508,WT versus LDR_M
3,DM037,3240169,3289969,7.880767552,WT versus LDR_M
3,DM038,4320169,4369969,7.110387544,WT versus LDR_M
3,DM039,4905169,5089969,12.009,WT versus LDR_M
3,DM040,5805169,5899969,10.552,WT versus LDR_M
3,DM041,6615169,6754969,9.148,WT versus LDR_M
3,DM042,6840169,6889969,7.558733572,WT versus LDR_M
3,DM043,7020169,7159969,7.835,WT versus LDR_M
3,DM044,7830169,7879969,8.052926416,WT versus LDR_M
3,DM045,8145169,8284969,17.18,WT versus LDR_M
3,DM046,9090169,9274969,11.511,WT versus LDR_M
3,DM047,10305169,10354969,7.805375444,WT versus LDR_M
3,DM048,10485169,10534969,8.822681584,WT versus LDR_M
3,DM049,12420169,12514969,10.347,WT versus LDR_M
3,DM050,12825169,13189969,22.968,WT versus LDR_M
3,DM051,13905169,14044969,9.145,WT versus LDR_M
3,DM052,15075169,15124969,7.495095828,WT versus LDR_M
3,DM053,15660169,15754969,18.787,WT versus LDR_M
3,DM054,15885169,16204969,27.848,WT versus LDR_M
3,DM055,17865169,18679969,22.416,WT versus LDR_M
3,DM056,18810169,19039969,23.186,WT versus LDR_M
3,DM057,19755169,19804969,9.595687096,WT versus LDR_M
3,DM058,19890169,19984969,9.49,WT versus LDR_M
3,DM059,20790169,20839969,8.587007192,WT versus LDR_M
3,DM060,21150169,21244969,8.898,WT versus LDR_M
3,DM061,26595169,26644969,7.309776912,WT versus LDR_M
4,DM062,180103,229903,7.550312784,WT versus LDR_M
4,DM063,3105103,3199903,10.103,WT versus LDR_M
4,DM064,8190103,8284903,8.952,WT versus LDR_M
4,DM065,9675103,9724903,7.543606196,WT versus LDR_M
4,DM066,10035103,10084903,9.161408724,WT versus LDR_M
4,DM067,10305103,10579903,14.38,WT versus LDR_M
4,DM068,10800103,10984903,14.858,WT versus LDR_M
4,DM069,11160103,11299903,7.331,WT versus LDR_M
4,DM070,12015103,12064903,7.029500832,WT versus LDR_M
4,DM071,12465103,12604903,7.609,WT versus LDR_M
4,DM072,12915103,13009903,8.374,WT versus LDR_M
4,DM073,13185103,13324903,12.103,WT versus LDR_M
4,DM074,15525103,15574903,7.071342484,WT versus LDR_M
4,DM075,16020103,16069903,9.951277164,WT versus LDR_M
4,DM076,16650103,16699903,7.55433436475411,WT versus LDR_M
4,DM077,19035103,19084903,8.09672736,WT versus LDR_M
4,DM078,24750103,24844903,9.634,WT versus LDR_M
4,DM079,25290103,25339903,9.584225008,WT versus LDR_M
5,DM080,90007,139807,7.242059112,WT versus LDR_M
5,DM081,1575007,1624807,6.96158336,WT versus LDR_M
5,DM082,4095007,4144807,6.97353928,WT versus LDR_M
5,DM083,6300007,6349807,6.972235772,WT versus LDR_M
5,DM084,8325007,8374807,11.038017276,WT versus LDR_M
5,DM085,13320007,13504807,11.26,WT versus LDR_M
5,DM086,14310007,14494807,11.745,WT versus LDR_M
5,DM087,14715007,14809807,12.362,WT versus LDR_M
5,DM088,15750007,15799807,7.3709468,WT versus LDR_M
5,DM089,16290007,16339807,9.3534367,WT versus LDR_M
5,DM090,16560007,16609807,8.152937884,WT versus LDR_M
5,DM091,17595007,17644807,9.291128208,WT versus LDR_M
5,DM092,18000007,18139807,12.127,WT versus LDR_M
5,DM093,18585007,18814807,8.05,WT versus LDR_M
5,DM094,24435007,24484807,8.225915752,WT versus LDR_M
5,DM095,25605007,25654807,7.595881716,WT versus LDR_M
6,DM096,495069,544869,8.81990364,WT versus LDR_M
6,DM097,5220069,5269869,7.792120128,WT versus LDR_M
6,DM098,7470069,7519869,8.850999184,WT versus LDR_M
6,DM099,8775069,8869869,8.704,WT versus LDR_M
6,DM100,15300069,15349869,7.563332072,WT versus LDR_M
6,DM101,16200069,16339869,10.777,WT versus LDR_M
6,DM102,16650069,16699869,10.983701208,WT versus LDR_M
6,DM103,16920069,16969869,6.948970848,WT versus LDR_M
6,DM104,17145069,17194869,13.53401058,WT versus LDR_M
6,DM105,17325069,17374869,8.642891356,WT versus LDR_M
6,DM106,17910069,17959869,7.894457376,WT versus LDR_M
6,DM107,18765069,18814869,7.970032472,WT versus LDR_M
6,DM108,19980069,20029869,9.22258112,WT versus LDR_M
6,DM109,20970069,21064869,8.415,WT versus LDR_M
6,DM110,21510069,21559869,7.343944544,WT versus LDR_M
6,DM111,27765069,27814869,7.376836992,WT versus LDR_M
6,DM112,28890069,28939869,10.929193168,WT versus LDR_M
6,DM113,29475069,29524869,11.124639292,WT versus LDR_M
6,DM114,30420069,30514869,8.613,WT versus LDR_M
7,DM115,584,139984,13.491,WT versus LDR_M
7,DM116,225184,274984,7.097929504,WT versus LDR_M
7,DM117,2970184,3019984,9.289902952,WT versus LDR_M
7,DM118,3285184,3424984,7.573,WT versus LDR_M
7,DM119,3735184,3784984,7.053951764,WT versus LDR_M
7,DM120,4950184,5044984,9.125,WT versus LDR_M
7,DM121,7560184,7609984,7.406278148,WT versus LDR_M
7,DM122,7965184,8059984,8.184,WT versus LDR_M
7,DM123,8685184,8734984,10.160261784,WT versus LDR_M
7,DM124,11340184,11389984,7.159967712,WT versus LDR_M
7,DM125,14985184,15034984,7.594717656,WT versus LDR_M
7,DM126,15120184,15439984,8.548,WT versus LDR_M
7,DM127,15525184,15619984,7.79,WT versus LDR_M
7,DM128,20250184,20344984,10.63,WT versus LDR_M
7,DM129,21735184,21784984,7.088303988,WT versus LDR_M
7,DM130,23400184,23449984,6.998573828,WT versus LDR_M
7,DM131,24300184,24349984,8.870677408,WT versus LDR_M
7,DM132,26100184,26149984,7.174717852,WT versus LDR_M
8,DM133,276,94876,9.945,WT versus LDR_M
8,DM134,3915076,3964876,12.574967456,WT versus LDR_M
8,DM135,6615076,6709876,11.843,WT versus LDR_M
8,DM136,6930076,7024876,8.267,WT versus LDR_M
8,DM137,14760076,14809876,12.128135416,WT versus LDR_M
8,DM138,20655076,20839876,9.09,WT versus LDR_M
8,DM139,20925076,21064876,12.412,WT versus LDR_M
8,DM140,21285076,21739876,15.172,WT versus LDR_M
8,DM141,21825076,22099876,11.005,WT versus LDR_M
8,DM142,22860076,22909876,8.198297484,WT versus LDR_M
8,DM143,31410076,31459876,16.735073492,WT versus LDR_M
9,DM144,1391,49991,7.24305398360656,WT versus LDR_M
9,DM145,6345191,6439991,8.665,WT versus LDR_M
9,DM146,7470191,7519991,7.438585036,WT versus LDR_M
9,DM147,8685191,8734991,7.169465892,WT versus LDR_M
9,DM148,11025191,11074991,7.29917294,WT versus LDR_M
9,DM149,15480191,15529991,7.59928288,WT versus LDR_M
9,DM150,16020191,16069991,7.46740648,WT versus LDR_M
9,DM151,16515191,16564991,8.092910632,WT versus LDR_M
9,DM152,17730191,17779991,7.125283336,WT versus LDR_M
9,DM153,18900191,18949991,7.119067072,WT versus LDR_M
9,DM154,20475191,20569991,14.44,WT versus LDR_M
9,DM155,21825191,21874991,7.8448918,WT versus LDR_M
9,DM156,23850191,23899991,10.972313752,WT versus LDR_M
10,DM157,5580166,5629966,11.020791484,WT versus LDR_M
10,DM158,7245166,7294966,7.282401592,WT versus LDR_M
10,DM159,7605166,7654966,10.451819596,WT versus LDR_M
10,DM160,9225166,9364966,7.935,WT versus LDR_M
10,DM161,9900166,9994966,8.443,WT versus LDR_M
10,DM162,10530166,10669966,9.082,WT versus LDR_M
10,DM163,11295166,11344966,7.836972356,WT versus LDR_M
10,DM164,12735166,12784966,9.866006836,WT versus LDR_M
10,DM165,14355166,14404966,10.154391576,WT versus LDR_M
10,DM166,14940166,14989966,8.78157962,WT versus LDR_M
10,DM167,17055166,17104966,7.31298724,WT versus LDR_M
10,DM168,20970166,21019966,10.873627656,WT versus LDR_M
10,DM169,23175166,23269966,8.243,WT versus LDR_M
10,DM170,23400166,23809966,8.625,WT versus LDR_M
10,DM171,23895166,24124966,9.46,WT versus LDR_M
10,DM172,25245166,25294966,21.22316958,WT versus LDR_M
11,DM173,900013,949813,7.284663752,WT versus LDR_M
11,DM174,1440013,1489813,7.59388402,WT versus LDR_M
11,DM175,2250013,2299813,8.412302524,WT versus LDR_M
11,DM176,4095013,4144813,7.353633444,WT versus LDR_M
11,DM177,4410013,4459813,8.420553748,WT versus LDR_M
11,DM178,6255013,6304813,6.971055616,WT versus LDR_M
11,DM179,9630013,9724813,10.414,WT versus LDR_M
11,DM180,11025013,11074813,7.219828948,WT versus LDR_M
11,DM181,11520013,11569813,7.137104008,WT versus LDR_M
11,DM182,12735013,12784813,8.660003992,WT versus LDR_M
11,DM183,13050013,13144813,11.225,WT versus LDR_M
11,DM184,14085013,14134813,7.577061952,WT versus LDR_M
11,DM185,14310013,14584813,9.087,WT versus LDR_M
11,DM186,16515013,16564813,8.411027216,WT versus LDR_M
11,DM187,17505013,17554813,8.118331904,WT versus LDR_M
11,DM188,17730013,17779813,8.75945378,WT versus LDR_M
11,DM189,18000013,18049813,7.208126488,WT versus LDR_M
11,DM190,18315013,18364813,10.280620772,WT versus LDR_M
11,DM191,19305013,19354813,7.732321144,WT versus LDR_M
11,DM192,19710013,19894813,10.564,WT versus LDR_M
11,DM193,20115013,20164813,8.169062652,WT versus LDR_M
11,DM194,20295013,20344813,7.30620138800001,WT versus LDR_M
11,DM195,20880013,20929813,7.540263424,WT versus LDR_M
11,DM196,21240013,21289813,7.172048328,WT versus LDR_M
11,DM197,21735013,21784813,9.86524046,WT versus LDR_M
11,DM198,22545013,22639813,8.475,WT versus LDR_M
11,DM199,22950013,23044813,8.269,WT versus LDR_M
11,DM200,24750013,24844813,8.599,WT versus LDR_M
11,DM201,25065013,25204813,11.396,WT versus LDR_M
11,DM202,25515013,25609813,11.34,WT versus LDR_M
11,DM203,27180013,27229813,7.184269656,WT versus LDR_M
12,DM204,42,229842,11.304,WT versus LDR_M
12,DM205,1485042,1534842,7.740898152,WT versus LDR_M
12,DM206,3645042,3694842,7.051665324,WT versus LDR_M
12,DM207,4590042,4729842,8.783,WT versus LDR_M
12,DM208,4995042,5044842,8.7484515,WT versus LDR_M
12,DM209,5670042,5989842,9.074,WT versus LDR_M
12,DM210,7470042,7519842,7.24940584,WT versus LDR_M
12,DM211,8190042,8239842,7.549217916,WT versus LDR_M
12,DM212,8415042,8464842,7.315107164,WT versus LDR_M
12,DM213,10305042,10354842,8.85474758399999,WT versus LDR_M
12,DM214,18900042,19039842,9.074,WT versus LDR_M
12,DM215,19440042,19489842,8.707882048,WT versus LDR_M
12,DM216,23130042,23179842,8.179020896,WT versus LDR_M
12,DM217,24975042,25024842,7.175468176,WT versus LDR_M
