chromosome,start,end,mean_fst,comparison
3,17850001,18135001,0.52,WT versus LDR_M
3,18190001,18510001,0.504,WT versus LDR_M
3,18580001,18625001,0.423,WT versus LDR_M
3,18880001,19000001,0.597,WT versus LDR_M
3,19750001,19770001,0.432,WT versus LDR_M
3,23190001,23200001,0.447,WT versus LDR_M
3,25460001,25495001,0.448,WT versus LDR_M
3,25745001,25750001,0.416,WT versus LDR_M
3,26280001,26320001,0.459,WT versus LDR_M
3,26490001,26535001,0.422,WT versus LDR_M
3,28010001,28020001,0.42,WT versus LDR_M
3,28145001,28195001,0.444,WT versus LDR_M
3,28560001,28615001,0.505,WT versus LDR_M
4,695001,750001,0.5,WT versus LDR_M
4,960001,1025001,0.505,WT versus LDR_M
4,1175001,1220001,0.466,WT versus LDR_M
4,3060001,3160001,0.489,WT versus LDR_M
4,8170001,8325001,0.439,WT versus LDR_M
4,8990001,9095001,0.483,WT versus LDR_M
4,9230001,9285001,0.426,WT versus LDR_M
4,10535001,10555001,0.426,WT versus LDR_M
4,10720001,10885001,0.444,WT versus LDR_M
4,11115001,11200001,0.45,WT versus LDR_M
4,12380001,12515001,0.485,WT versus LDR_M
4,12835001,12980001,0.503,WT versus LDR_M
4,13160001,13270001,0.435,WT versus LDR_M
4,13540001,13565001,0.444,WT versus LDR_M
4,13680001,13685001,0.425,WT versus LDR_M
4,13740001,13775001,0.418,WT versus LDR_M
4,17215001,17305001,0.436,WT versus LDR_M
4,27410001,27435001,0.461,WT versus LDR_M
4,27860001,27895001,0.44,WT versus LDR_M
4,28065001,28115001,0.423,WT versus LDR_M
4,29305001,29335001,0.444,WT versus LDR_M
4,30210001,30290001,0.541,WT versus LDR_M
4,30390001,30395001,0.423,WT versus LDR_M
4,30850001,30865001,0.422,WT versus LDR_M
4,32010001,32035001,0.424,WT versus LDR_M
5,1385001,1395001,0.424,WT versus LDR_M
5,1550001,1610001,0.477,WT versus LDR_M
5,2900001,2905001,0.415,WT versus LDR_M
5,8540001,8575001,0.502,WT versus LDR_M
5,10760001,10765001,0.416,WT versus LDR_M
5,11225001,11230001,0.439,WT versus LDR_M
5,11515001,11520001,0.414,WT versus LDR_M
5,12645001,12660001,0.46,WT versus LDR_M
5,13285001,13380001,0.479,WT versus LDR_M
5,13475001,13495001,0.421,WT versus LDR_M
5,16190001,16310001,0.419,WT versus LDR_M
5,17300001,17310001,0.43,WT versus LDR_M
5,17515001,17530001,0.415,WT versus LDR_M
5,19365001,19375001,0.419,WT versus LDR_M
5,20205001,20225001,0.426,WT versus LDR_M
5,20375001,20420001,0.448,WT versus LDR_M
5,21125001,21220001,0.578,WT versus LDR_M
5,21290001,21295001,0.491,WT versus LDR_M
5,22635001,22665001,0.462,WT versus LDR_M
5,23105001,23120001,0.464,WT versus LDR_M
5,23330001,23345001,0.426,WT versus LDR_M
5,23560001,23585001,0.419,WT versus LDR_M
6,415001,535001,0.457,WT versus LDR_M
6,5170001,5255001,0.511,WT versus LDR_M
6,7490001,7540001,0.453,WT versus LDR_M
6,9395001,9470001,0.445,WT versus LDR_M
6,11805001,11850001,0.426,WT versus LDR_M
6,15275001,15335001,0.542,WT versus LDR_M
6,15440001,15600001,0.492,WT versus LDR_M
6,15670001,15720001,0.43,WT versus LDR_M
6,15830001,15965001,0.472,WT versus LDR_M
6,16070001,16110001,0.425,WT versus LDR_M
6,16180001,16310001,0.6,WT versus LDR_M
6,16380001,16695001,0.525,WT versus LDR_M
6,16890001,16970001,0.451,WT versus LDR_M
6,17130001,17145001,0.437,WT versus LDR_M
6,22390001,22560001,0.481,WT versus LDR_M
6,24315001,24365001,0.446,WT versus LDR_M
6,25210001,25260001,0.508,WT versus LDR_M
6,28875001,28885001,0.414,WT versus LDR_M
6,28950001,29045001,0.457,WT versus LDR_M
6,30375001,30385001,0.431,WT versus LDR_M
6,31105001,31110001,0.414,WT versus LDR_M
7,1,155001,0.56,WT versus LDR_M
7,1610001,1625001,0.444,WT versus LDR_M
7,5045001,5050001,0.422,WT versus LDR_M
7,7520001,7560001,0.435,WT versus LDR_M
7,9795001,9880001,0.439,WT versus LDR_M
7,10485001,10620001,0.465,WT versus LDR_M
7,10745001,10800001,0.464,WT versus LDR_M
7,10875001,10895001,0.428,WT versus LDR_M
7,14375001,14430001,0.437,WT versus LDR_M
7,14985001,15015001,0.443,WT versus LDR_M
7,15120001,15220001,0.429,WT versus LDR_M
7,15280001,15620001,0.445,WT versus LDR_M
7,15900001,16005001,0.455,WT versus LDR_M
7,16210001,16240001,0.45,WT versus LDR_M
7,18950001,18970001,0.479,WT versus LDR_M
7,20245001,20335001,0.477,WT versus LDR_M
7,21405001,21445001,0.465,WT versus LDR_M
7,21700001,21745001,0.462,WT versus LDR_M
7,21955001,22000001,0.497,WT versus LDR_M
7,22115001,22155001,0.485,WT versus LDR_M
7,23195001,23280001,0.487,WT versus LDR_M
7,24305001,24335001,0.461,WT versus LDR_M
8,1,115001,0.599,WT versus LDR_M
8,1470001,1505001,0.514,WT versus LDR_M
8,3630001,3645001,0.422,WT versus LDR_M
8,3900001,3965001,0.625,WT versus LDR_M
8,4065001,4110001,0.474,WT versus LDR_M
8,4870001,4880001,0.416,WT versus LDR_M
8,5070001,5100001,0.448,WT versus LDR_M
8,5930001,5935001,0.418,WT versus LDR_M
8,6240001,6270001,0.434,WT versus LDR_M
8,6610001,6670001,0.486,WT versus LDR_M
8,6735001,6790001,0.47,WT versus LDR_M
8,7005001,7065001,0.437,WT versus LDR_M
8,9030001,9070001,0.455,WT versus LDR_M
8,9775001,9855001,0.432,WT versus LDR_M
8,9915001,10025001,0.507,WT versus LDR_M
8,10155001,10160001,0.421,WT versus LDR_M
8,10570001,10750001,0.465,WT versus LDR_M
8,10810001,10830001,0.437,WT versus LDR_M
8,21335001,21375001,0.434,WT versus LDR_M
8,21575001,21740001,0.461,WT versus LDR_M
8,21800001,21855001,0.429,WT versus LDR_M
8,23245001,23285001,0.443,WT versus LDR_M
8,24860001,24875001,0.463,WT versus LDR_M
8,26895001,26965001,0.525,WT versus LDR_M
8,27190001,27255001,0.471,WT versus LDR_M
8,30540001,30585001,0.431,WT versus LDR_M
9,55001,90001,0.438,WT versus LDR_M
9,160001,250001,0.432,WT versus LDR_M
9,1120001,1130001,0.443,WT versus LDR_M
9,1500001,1535001,0.462,WT versus LDR_M
9,7000001,7010001,0.431,WT versus LDR_M
9,9965001,9990001,0.422,WT versus LDR_M
9,16560001,16575001,0.42,WT versus LDR_M
9,20230001,20255001,0.435,WT versus LDR_M
9,20455001,20520001,0.491,WT versus LDR_M
9,21795001,21860001,0.667,WT versus LDR_M
9,22165001,22215001,0.446,WT versus LDR_M
10,2710001,2715001,0.416,WT versus LDR_M
10,9860001,9870001,0.416,WT versus LDR_M
10,12060001,12090001,0.594,WT versus LDR_M
10,12190001,12250001,0.47,WT versus LDR_M
11,255001,270001,0.434,WT versus LDR_M
11,2220001,2265001,0.453,WT versus LDR_M
11,3085001,3110001,0.44,WT versus LDR_M
11,3825001,3850001,0.428,WT versus LDR_M
11,5875001,5880001,0.486,WT versus LDR_M
11,6915001,6935001,0.471,WT versus LDR_M
11,7130001,7155001,0.463,WT versus LDR_M
11,7800001,8195001,0.499,WT versus LDR_M
11,8400001,8420001,0.432,WT versus LDR_M
11,8990001,9125001,0.462,WT versus LDR_M
11,9870001,9940001,0.417,WT versus LDR_M
11,11050001,11055001,0.415,WT versus LDR_M
11,11175001,11285001,0.432,WT versus LDR_M
11,11395001,11485001,0.429,WT versus LDR_M
11,11580001,11595001,0.421,WT versus LDR_M
11,11675001,11685001,0.427,WT versus LDR_M
11,11750001,11770001,0.446,WT versus LDR_M
11,11920001,11950001,0.421,WT versus LDR_M
11,12050001,12095001,0.429,WT versus LDR_M
11,12370001,12430001,0.475,WT versus LDR_M
11,12600001,12785001,0.469,WT versus LDR_M
11,13070001,13125001,0.436,WT versus LDR_M
11,13315001,13345001,0.431,WT versus LDR_M
11,13410001,13455001,0.491,WT versus LDR_M
11,14275001,14300001,0.429,WT versus LDR_M
11,14510001,14535001,0.42,WT versus LDR_M
11,15860001,15875001,0.421,WT versus LDR_M
11,15935001,16110001,0.435,WT versus LDR_M
11,16165001,16540001,0.463,WT versus LDR_M
11,16980001,17005001,0.421,WT versus LDR_M
11,18280001,18350001,0.499,WT versus LDR_M
11,18450001,18605001,0.46,WT versus LDR_M
11,18700001,18785001,0.426,WT versus LDR_M
11,18930001,19485001,0.505,WT versus LDR_M
11,19655001,19685001,0.486,WT versus LDR_M
11,19740001,19795001,0.43,WT versus LDR_M
11,19890001,19970001,0.495,WT versus LDR_M
11,20055001,20320001,0.448,WT versus LDR_M
11,20875001,20895001,0.506,WT versus LDR_M
11,21160001,21195001,0.437,WT versus LDR_M
11,21360001,21490001,0.476,WT versus LDR_M
11,21725001,21775001,0.448,WT versus LDR_M
11,21845001,21925001,0.444,WT versus LDR_M
11,22060001,22330001,0.476,WT versus LDR_M
11,22390001,22655001,0.499,WT versus LDR_M
11,22765001,22795001,0.441,WT versus LDR_M
11,22900001,23060001,0.472,WT versus LDR_M
11,23920001,23960001,0.452,WT versus LDR_M
11,24955001,25265001,0.446,WT versus LDR_M
11,25345001,25410001,0.495,WT versus LDR_M
11,25560001,25570001,0.422,WT versus LDR_M
11,26685001,26750001,0.445,WT versus LDR_M
11,29445001,29480001,0.428,WT versus LDR_M
11,31170001,31205001,0.434,WT versus LDR_M
12,945001,960001,0.45,WT versus LDR_M
12,1505001,1510001,0.419,WT versus LDR_M
12,4580001,4620001,0.444,WT versus LDR_M
12,4680001,4750001,0.521,WT versus LDR_M
12,5675001,5820001,0.579,WT versus LDR_M
12,5875001,5970001,0.516,WT versus LDR_M
12,7545001,7560001,0.463,WT versus LDR_M
12,7995001,8000001,0.434,WT versus LDR_M
12,8060001,8085001,0.435,WT versus LDR_M
12,10185001,10205001,0.425,WT versus LDR_M
12,10275001,10340001,0.49,WT versus LDR_M
12,16170001,16190001,0.429,WT versus LDR_M
12,16550001,16565001,0.43,WT versus LDR_M
12,17285001,17475001,0.525,WT versus LDR_M
12,19205001,19235001,0.432,WT versus LDR_M
12,19410001,19525001,0.449,WT versus LDR_M
12,19595001,19655001,0.476,WT versus LDR_M
12,19725001,20050001,0.443,WT versus LDR_M
12,21180001,21190001,0.414,WT versus LDR_M
12,24450001,24490001,0.453,WT versus LDR_M
